metacountry;metacountry_label;country;start_precision;start;end_precision;end;;;;
Metastate_Q1016;Ливия;Q1016;2;1.01.2011;;по наст. время;;;;
Metastate_Q1019;Мадагаскар;Q1071439;2;1.01.1540;2;1.01.1882;;;;
Metastate_Q1019;Мадагаскар;Q3951019;2;1.01.1882;2;1.01.1897;;;;
Metastate_Q1019;Мадагаскар;Q5501842;2;1.01.1897;2;1.01.1958;;;;
Metastate_Q1019;Мадагаскар;Q6740997;2;1.01.1958;2;1.01.1975;;;;
Metastate_Q1019;Мадагаскар;Q3456447;2;1.01.1975;2;1.01.1992;;;;
Metastate_Q1019;Мадагаскар;Q1019;2;1.01.1992;;по наст. время;;;;
Metastate_Q1020;Малави;Q2642989;2;1.01.1893;2;1.01.1907;;;;
Metastate_Q1020;Малави;Q1649306;2;1.01.1907;2;1.01.1953;;;;
Metastate_Q1020;Малави;Q654342;2;1.01.1953;2;1.01.1963;;;;
Metastate_Q1020;Малави;Q1649306;2;1.01.1963;2;1.01.1964;;;;
Metastate_Q1020;Малави;Q1020;2;1.01.1963;;по наст. время;;;;
Metastate_Q912;Мали;Q206789;3;1.01.700;3;1.01.1240;;;;
Metastate_Q912;Мали;Q184536;3;1.01.1240;3;1.01.1464;;;;
Metastate_Q912;Мали;Q202687;3;1.01.1464;2;1.01.1591;;;;
Metastate_Q912;Мали;Q15824804;3;1.01.1600;2;1.01.1880;;;;
Metastate_Q912;Мали;Q508014;2;1.01.1880;2;1.01.1958;;;;
Metastate_Q912;Мали;Q3456487;2;1.01.1958;2;1.01.1960;;;;
Metastate_Q912;Мали;Q216632;2;1.01.1960;2;1.01.1960;;;;
Metastate_Q912;Мали;Q912;2;1.01.1960;;по наст. время;;;;
Metastate_Q1025;Мавритания;Q5148343;2;1.01.1903;2;1.01.1960;;;;
Metastate_Q1025;Мавритания;Q1025;2;1.01.1960;;по наст. время;;;;
Metastate_Q1027;Маврикий;Q12060804;2;1.01.1715;2;1.01.1810;;;;
Metastate_Q1027;Маврикий;Q12053604;2;1.01.1810;2;1.01.1968;;;;
Metastate_Q1027;Маврикий;Q14759030;2;1.01.1968;2;1.01.1992;;;;
Metastate_Q1027;Маврикий;Q1027;2;1.01.1992;;по наст. время;;;;
Metastate_Q1028;Марокко;Q75613;2;1.01.1040;2;1.01.1147;;;;
Metastate_Q1028;Марокко;Q199688;2;1.01.1121;2;1.01.1269;;;;
Metastate_Q1028;Марокко;Q582861;2;1.01.1244;2;1.01.1465;;;;
Metastate_Q1028;Марокко;Q907234;2;1.01.1912;2;1.01.1955;;;;
Metastate_Q1028;Марокко;Q457242;2;1.01.1912;2;1.01.1956;;;;
Metastate_Q1028;Марокко;Q3497642;2;1.01.1924;2;1.01.1956;;;;
Metastate_Q1028;Марокко;Q689837;2;1.01.1884;2;1.01.1975;;;;
Metastate_Q1028;Марокко;Q1028;2;1.01.1956;;по наст. время;;;;
Metastate_Q1029;Мозамбик;Q889394;2;1.01.1498;2;1.01.1975;;;;
Metastate_Q1029;Мозамбик;Q617078;2;1.01.1975;2;1.01.1990;;;;
Metastate_Q1029;Мозамбик;Q1029;2;1.01.1990;;по наст. время;;;;
Metastate_Q1030;Намибия;Q153665;2;1.01.1884;2;1.01.1915;;;;
Metastate_Q1030;Намибия;Q953068;2;1.01.1915;2;1.01.1990;;;;
Metastate_Q1030;Намибия;Q1030;2;1.01.1990;;по наст. время;;;;
Metastate_Q1032;Нигер;Q1271523;2;1.01.1904;2;1.01.1921;;;;
Metastate_Q1032;Нигер;Q5148520;2;1.01.1922;2;1.01.1960;;;;
Metastate_Q1032;Нигер;Q1032;2;1.01.1960;;по наст. время;;;;
